Hidden Layers,Units per Layer,Activation,Learning Rate,Batch Size,Epochs,Accuracy
1,512,sigmoid,0.001,32,30,0.8721461187214612
1,512,sigmoid,0.001,32,50,0.8755707762557078
1,512,sigmoid,0.001,32,70,0.8835616438356164
1,512,sigmoid,0.001,64,10,0.5810502283105022
1,512,sigmoid,0.001,64,30,0.843607305936073
1,512,sigmoid,0.001,64,50,0.8732876712328768
1,512,sigmoid,0.001,64,70,0.882420091324201
1,512,sigmoid,0.01,16,10,0.8618721461187214
1,512,sigmoid,0.01,16,30,0.8789954337899544
1,512,sigmoid,0.01,16,50,0.8767123287671232
1,512,sigmoid,0.01,16,70,0.8812785388127854
1,512,sigmoid,0.01,32,10,0.8618721461187214
1,512,sigmoid,0.01,32,30,0.8664383561643836
1,512,sigmoid,0.01,32,50,0.8721461187214612
1,512,sigmoid,0.01,32,70,0.8664383561643836
1,512,sigmoid,0.01,64,10,0.8573059360730594
1,512,sigmoid,0.01,64,30,0.8538812785388128
1,512,sigmoid,0.01,64,50,0.8595890410958904
1,512,sigmoid,0.01,64,70,0.8664383561643836
1,512,sigmoid,0.1,16,10,0.5821917808219178
1,512,sigmoid,0.1,16,30,0.680365296803653
1,512,sigmoid,0.1,16,50,0.6883561643835616
1,512,sigmoid,0.1,16,70,0.6678082191780822
1,512,sigmoid,0.1,32,10,0.617579908675799
1,512,sigmoid,0.1,32,30,0.6381278538812786
1,512,sigmoid,0.1,32,50,0.6495433789954338
1,512,sigmoid,0.1,32,70,0.7248858447488584
1,512,sigmoid,0.1,64,10,0.6917808219178082
1,512,sigmoid,0.1,64,30,0.7191780821917808
1,512,sigmoid,0.1,64,50,0.7454337899543378
1,512,sigmoid,0.1,64,70,0.7214611872146118
1,512,tanh,0.001,16,10,0.8481735159817352
1,512,tanh,0.001,16,30,0.8664383561643836
1,512,tanh,0.001,16,50,0.8858447488584474
1,512,tanh,0.001,16,70,0.8789954337899544
1,512,tanh,0.001,32,10,0.8333333333333334
1,512,tanh,0.001,32,30,0.8687214611872146
1,512,tanh,0.001,32,50,0.8710045662100456
1,512,tanh,0.001,32,70,0.8812785388127854
1,512,tanh,0.001,64,10,0.8321917808219178
1,512,tanh,0.001,64,30,0.8561643835616438
1,512,tanh,0.001,64,50,0.8618721461187214
1,512,tanh,0.001,64,70,0.865296803652968
1,512,tanh,0.01,16,10,0.8401826484018264
1,512,tanh,0.01,16,30,0.8641552511415526
1,512,tanh,0.01,16,50,0.8401826484018264
1,512,tanh,0.01,16,70,0.8561643835616438
1,512,tanh,0.01,32,10,0.8573059360730594
1,512,tanh,0.01,32,30,0.8573059360730594
1,512,tanh,0.01,32,50,0.8618721461187214
1,512,tanh,0.01,32,70,0.8641552511415526
1,512,tanh,0.01,64,10,0.867579908675799
1,512,tanh,0.01,64,30,0.863013698630137
1,512,tanh,0.01,64,50,0.8710045662100456
1,512,tanh,0.01,64,70,0.8641552511415526
1,512,tanh,0.1,16,10,0.4897260273972603
1,512,tanh,0.1,16,30,0.5582191780821918
1,512,tanh,0.1,16,50,0.6267123287671232
1,512,tanh,0.1,16,70,0.6541095890410958
1,512,tanh,0.1,32,10,0.5605022831050228
1,512,tanh,0.1,32,30,0.5844748858447488
1,512,tanh,0.1,32,50,0.6210045662100456
1,512,tanh,0.1,32,70,0.6655251141552512
1,512,tanh,0.1,64,10,0.5707762557077626
1,512,tanh,0.1,64,30,0.6312785388127854
1,512,tanh,0.1,64,50,0.6301369863013698
1,512,tanh,0.1,64,70,0.6735159817351598
2,32,relu,0.001,16,10,0.886986301369863
2,32,relu,0.001,16,30,0.9052511415525114
